State,Olympians,Medals
Alabama,1,1
Alaska,2,1
Arizona,9,6
Arkansas,6,2
California,124,58
Colorado,19,4
Connecticut,9,0
Delaware,2,1
Florida,39,23
Georgia,14,6
Hawaii,5,3
Idaho,2,1
Illinois,17,10
Indiana,13,11
Iowa,3,2
Kansas,3,1
Kentucky,2,0
Louisiana,3,1
Maine,1,1
Maryland,11,17
Massachusetts,13,5
Michigan,10,5
Minnesota,11,6
Mississippi,4,5
Missouri,11,3
Nebraska,4,3
Nevada,4,3
New Hampshire,4,1
New Jersey,29,11
New Mexico,2,0
New York,30,15
North Carolina,4,2
Ohio,13,4
Oklahoma,1,1
Oregon,14,7
Pennsylvania,31,10
Rhode Island,4,0
South Carolina,2,1
South Dakota,1,0
Tennessee,2,0
Texas,33,22
Utah,4,0
Vermont,1,0
Virginia,14,7
Washignton,16,6
Wisconsin,5,0
